key,운영,시설,기타
0415902013,2.0,0.0,0.0
1972102017,2.0,0.0,0.0
0388702003,2.0,0.0,0.0
0318602007,2.0,0.0,0.0
0490002003,2.0,1.0,0.0
0384602011,2.0,0.0,0.0
1065202014,2.0,0.0,0.0
0192602006,2.0,0.0,0.0
0474202005,2.0,0.0,0.0
0522902007,2.0,0.0,0.0
0358302008,2.0,0.0,0.0
0856802007,2.0,0.0,0.0
0609002007,2.0,0.0,0.0
0737802008,2.0,0.0,0.0
0454702008,2.0,0.0,0.0
0248002007,2.0,0.0,0.0
0671602011,2.0,0.0,0.0
0877302019,2.0,1.0,1.0
0627302005,2.0,0.0,0.0
0515302008,2.0,0.0,0.0
0406702010,2.0,0.0,0.0
0403502008,2.0,0.0,0.0
0804402017,2.0,0.0,0.0
1945102017,2.0,0.0,0.0
0330302008,2.0,0.0,0.0
0331902008,2.0,0.0,0.0
0457602006,2.0,0.0,0.0
0359502008,2.0,0.0,0.0
0332602007,2.0,0.0,0.0
0369202011,2.0,0.0,0.0
0588202008,2.0,0.0,0.0
0511602005,2.0,0.0,0.0
0671302008,2.0,0.0,0.0
0280902012,2.0,0.0,1.0
0436802007,2.0,0.0,0.0
0077202009,2.0,0.0,0.0
0187002012,2.0,0.0,0.0
0614602007,2.0,0.0,0.0
0458902015,2.0,0.0,0.0
0663402007,2.0,0.0,0.0
0655602013,2.0,0.0,0.0
0328602008,2.0,0.0,0.0
0567102009,2.0,0.0,0.0
0283002005,2.0,0.0,0.0
0781502008,2.0,1.0,0.0
0294802018,2.0,0.0,0.0
0533302012,2.0,0.0,0.0
1010002018,2.0,2.0,3.0
0541802008,2.0,0.0,0.0
0785902008,2.0,0.0,0.0
0640602007,2.0,0.0,0.0
0788902013,2.0,0.0,0.0
0362602009,2.0,0.0,0.0
0837902011,2.0,0.0,0.0
0304202010,2.0,0.0,0.0
0804402018,2.0,0.0,0.0
0419402007,2.0,0.0,0.0
0515302007,2.0,0.0,0.0
0335502012,2.0,0.0,0.0
0328202004,2.0,0.0,0.0
0320402009,2.0,0.0,0.0
0367902009,2.0,0.0,0.0
0863902009,2.0,0.0,0.0
0484102016,2.0,0.0,0.0
0560102008,2.0,0.0,0.0
0984002010,2.0,0.0,0.0
1854902020,2.0,0.0,0.0
Ent.2003,2.0,0.0,0.0
3066202020,2.0,0.0,0.0
0640602005,2.0,0.0,0.0
0346002006,2.0,0.0,0.0
2088602018,2.0,0.0,0.0
0715302010,2.0,0.0,0.0
0454702011,2.0,0.0,0.0
0329802018,2.0,0.0,2.0
1683302016,2.0,0.0,0.0
0563402010,2.0,0.0,0.0
0522902015,2.0,0.0,0.0
0436102005,2.0,0.0,1.0
0731302011,2.0,0.0,0.0
0384102007,2.0,0.0,0.0
0414502009,2.0,0.0,0.0
0802202009,2.0,0.0,0.0
0369002004,2.0,0.0,1.0
